"Source:","/home/havard/Development/tdt4295/pcb/centrifuge_mcu/centrifuge_mcu.kicad_sch"
"Date:","Thu 29 Sep 2022 12:48:37 AM CEST"
"Tool:","Eeschema (6.0.7)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","114"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Purchase","Size","Threshold","Title","Tolerance"
"","","C101","22u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/samsung-electro-mechanics/CL31B226KQHNNNE/3888804","","","",""
"","","C102","22u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/samsung-electro-mechanics/CL31B226KQHNNNE/3888804","","","",""
"","","C103","22u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/samsung-electro-mechanics/CL31B226KQHNNNE/3888804","","","",""
"","","C104","22u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/samsung-electro-mechanics/CL31B226KQHNNNE/3888804","","","",""
"","","C105","22u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/samsung-electro-mechanics/CL31B226KQHNNNE/3888804","","","",""
"","","C106","22u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/samsung-electro-mechanics/CL31B226KQHNNNE/3888804","","","",""
"","","C107","100u","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","https://www.digikey.no/no/products/detail/panasonic-electronic-components/EEU-FC1H101/266332","","","",""
"","","C108","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/murata-electronics/GRT31CC81E106KE01L/5416837","","","",""
"","","C109","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/murata-electronics/GRT31CC81E106KE01L/5416837","","","",""
"","","C110","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/murata-electronics/GRT31CC81E106KE01L/5416837","","","",""
"","","C111","100n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/walsin-technology-corporation/1206B104K250CT/9355100","","","",""
"","","C112","100n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/walsin-technology-corporation/1206B104K250CT/9355100","","","",""
"","","C113","100n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/walsin-technology-corporation/1206B104K250CT/9355100","","","",""
"","","C114","100n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/walsin-technology-corporation/1206B104K250CT/9355100","","","",""
"","","C115","100n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/walsin-technology-corporation/1206B104K250CT/9355100","","","",""
"","","C116","100n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/walsin-technology-corporation/1206B104K250CT/9355100","","","",""
"","","C117","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","https://www.digikey.no/no/products/detail/kemet/C0805C105J4REC7800/8643700","","","",""
"","","C118","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","https://www.digikey.no/no/products/detail/kemet/C0805C105J4REC7800/8643700","","","",""
"","","C119","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","https://www.digikey.no/no/products/detail/kemet/C0805C105J4REC7800/8643700","","","",""
"","","C120","100n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/walsin-technology-corporation/1206B104K250CT/9355100","","","",""
"","","C121","100n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/walsin-technology-corporation/1206B104K250CT/9355100","","","",""
